prompt,simplestories_word,camstories_10k_word_run1,tinystories_word,camstories_10k_15m_8L6H384,gpt2
I gave Alex my old backpack and kept my new backpack. The backpack I kept is the,0,8,0,6,0
I stacked the red box on the blue box. The box on the bottom is the,2,8,3,10,2
I set a cup upside down over a coin. I lift the cup to get the,2,10,1,10,7
"If I throw a ball up in the air, eventually it will",1,10,2,10,9
"I labeled one jar ""Alex"" and one jar ""mine"". I put the coin in the jar labeled ""Alex"". The jar with nothing inside is",2,6,2,8,1
"Alex likes cats and dogs. She asked her mum for a dog and her mum said no, so instead she asked",1,10,9,10,4
I placed the circle sticker on the door and the square sticker on the wall. I look at the wall to see the,6,9,3,8,3
I put the red sock in the top drawer and the blue sock in the bottom drawer. I open the top drawer to get the,7,10,7,10,3
I placed the toy under the blanket and the book under the pillow. I lift the blanket to find the,4,10,10,10,3
"The soup was too hot to eat, but the ice cream was too cold. Alex wanted something warm, so she chose the",2,2,0,7,0
"Alex went to visit Finley in her house, but she was not at home. Alex knocked on the door",2,8,9,8,3
I put the bell inside the bag and tied the bag shut. The bell is still inside the,1,10,10,10,10
I put the ball in the first drawer and the brush in the second drawer. I open the first drawer and take the,9,10,10,10,2
I gave Alex the only cup with a lid and kept the cup without a lid. The cup I kept is the one without a,1,10,10,10,10
I put the coin in the box with the square sticker and a note in the box with the circle sticker. I open the box with the square sticker to get the,1,10,10,10,10
I put water in the tall cup and juice in the short cup. I hand Alex the juice. I drink the,4,3,3,10,4
I have a red notebook and a blue notebook. I lend Alex the red notebook. I write in the,6,10,6,10,10
Both Alex and Finley wanted cake. Father said that there was only one piece of cake left. They,9,9,10,10,2
I slid the letter under the door and kept the postcard in my hand. The thing that went under the door is the,8,10,6,10,9
"The light is turned off, the room is",10,10,10,10,3
"When the snow falls, the ground turns",10,10,6,10,7
I put the green marble in my pocket and the blue marble in Alex's pocket. I reach into my pocket to get the,7,10,10,7,2
"If the glass is dropped, it will",3,7,9,6,1
"Alex was hungry, and wanted to bake a cake, but she didn't have any sugar at home, so she decided to go ask around. She started walking and met a squirrel. She asked the squirrel, ""Would you happen",2,5,8,8,3
I wrote a word on page one and a drawing on page two. I open to page one to see the,0,8,10,3,0
"It was winter and cold outside so his mother told him, ""You should",9,8,5,8,4
I have a red pen and a black pen. I loan Alex the red pen. I write with the,4,10,10,10,10
"On weekends Alex went to visit his grandmother whereas on weekdays he would go to school. Last weekend, when Alex was on his way to",0,0,0,4,0
I have a square sticker and a star sticker. I give Alex the star sticker. I place on my notebook the,2,6,2,2,2
"I put the square tag on one bag and the circle tag on the other. I grab the bag with the square tag, leaving the bag with the",9,10,5,10,10
"Alex and Finley walked up the street and met a girl in a red dress. The girl said to them, ""Hi, I'm Remy. What are your names?""",9,10,9,8,3
"Alex and Finley are having an argument. They are trying to decide between the park and the swimming pool. Finley says, ""I want to go to the park"". Alex says",0,4,0,0,0
I placed a drawing inside the folder and a photo on the folder. I open the folder to see the,5,9,9,10,9
I put the toy boat in the box and the ball on the table. I open the box to find the,7,7,10,10,3
I put the letter C on the table and the letter D in the box. I open the box to take the,8,8,8,8,3
Alex and Finley were having an argument. Finley said that cake is much better than ice cream and Alex said that,3,8,10,8,6
"Alex was lost, she wanted to go home. She met a stranger and asked him if he",5,9,10,10,9
"I put the marker near Alex and the pencil near me. I pick up the thing near me, the",9,7,9,10,3
"When the sun goes down, it becomes dark. When the sun comes up, it becomes",6,10,2,5,10
