Token,Train_Count,Valid_Count,Total_Count
!,3860155,38617,3898772
"""",11964631,119640,12084271
#,17,0,17
$,159,0,159
%,13,0,13
&,49,0,49
',55227,541,55768
(,226,0,226
),229,0,229
*,101,0,101
+,27,0,27
",",23884516,241407,24125923
-,187667,2040,189707
.,44108480,445081,44553561
/,484,6,490
0,35,0,35
00,25,0,25
000,19,0,19
00pm,1,0,1
07,1,0,1
09,4,0,4
0been,1,0,1
0joe,1,0,1
0s,1,0,1
1,934,12,946
10,1024,17,1041
100,166,2,168
1000,7,0,7
100g,1,0,1
100th,6,0,6
101,3,0,3
102,2,0,2
109,1,0,1
10am,3,0,3
10c,1,0,1
10cm,1,0,1
10lbs,2,0,2
10p,1,0,1
10th,9,0,9
10x,1,0,1
11,34,0,34
12,237,3,240
120,5,0,5
123,65,0,65
1234,30,0,30
123s,11,0,11
12a,2,0,2
12b,2,0,2
12c,1,0,1
12d,1,0,1
12x12,1,0,1
13,19,1,20
14,31,0,31
14th,1,0,1
15,180,1,181
150,5,0,5
158,1,0,1
15lbs,1,0,1
15th,1,0,1
16,41,0,41
164,1,0,1
17,21,0,21
1776,1,0,1
178,1,0,1
18,41,1,42
180,8,0,8
1800s,1,0,1
18th,2,0,2
19,7,0,7
1912,1,0,1
1945,1,0,1
1950,1,0,1
1970,1,0,1
1978,1,0,1
1985,1,0,1
1999,2,0,2
1lb,1,0,1
1oved,1,0,1
1pm,1,0,1
1st,4,0,4
2,957,9,966
20,326,2,328
200,21,0,21
2000,1,0,1
2005,1,0,1
2010,1,0,1
2013,1,0,1
2016,1,0,1
2018,1,0,1
2020,2,0,2
2021,2,0,2
205,1,0,1
206,1,0,1
20kg,1,0,1
20th,1,0,1
21,15,1,16
212,4,0,4
21george,1,0,1
21st,2,0,2
22,9,0,9
220,1,0,1
23,13,0,13
24,8,0,8
25,82,0,82
25th,1,0,1
260,1,0,1
27,12,1,13
27cm,1,0,1
27kg,1,0,1
28,10,0,10
29,5,0,5
295,1,0,1
2kg,1,0,1
2lbs,1,0,1
2nd,4,0,4
3,24001,247,24248
30,148,1,149
300,7,0,7
3000,7,0,7
305,3,0,3
31,13,0,13
312,3,0,3
314,1,0,1
32,12,0,12
34,4,1,5
35,26,0,26
350,3,0,3
35kgs,1,0,1
36,25,0,25
360,3,0,3
365,5,0,5
366,1,0,1
37,12,0,12
38,27,0,27
384,1,0,1
39,5,0,5
3952,1,0,1
3cm,1,0,1
3d,9,0,9
3emma,1,0,1
3kg,1,0,1
3pm,1,0,1
3rd,71,3,74
4,591,5,596
40,51,0,51
400,5,0,5
405,1,0,1
41,1,0,1
42,6,0,6
45,6,0,6
450,1,0,1
456,3,0,3
476,1,0,1
48,2,0,2
4d,1,0,1
4th,24,0,24
5,1107,14,1121
50,114,0,114
500,13,0,13
5000,2,0,2
50lbs,1,0,1
512,1,0,1
52,4,0,4
54,1,0,1
54cm,1,0,1
55,3,0,3
555,24,0,24
5555,1,0,1
58,2,0,2
59,1,0,1
5c,1,0,1
5kg,1,0,1
5pm,1,0,1
5th,15,0,15
6,201,1,202
60,23,0,23
600,1,0,1
61,1,0,1
64,1,0,1
65,1,0,1
68,1,0,1
6am,1,0,1
6th,2,0,2
7,190,2,192
70,3,0,3
700,2,0,2
72,2,0,2
73,1,0,1
747,2,0,2
75,3,0,3
76,5,0,5
78,1,0,1
7am,4,0,4
7kg,2,0,2
7th,1,0,1
8,236,3,239
80,15,0,15
80s,1,0,1
836,1,0,1
85,1,0,1
8am,1,0,1
8kg,1,0,1
8lbs,1,0,1
8pm,1,0,1
8th,1,0,1
9,127,2,129
90,7,0,7
90th,1,0,1
91,1,0,1
911,216,2,218
93,1,0,1
95,7,0,7
97,3,0,3
98,6,0,6
99,13,0,13
999,2,0,2
9999,1,0,1
:,120957,1204,122161
;,11736,104,11840
<,32,0,32
=,23,23,46
>,29,0,29
?,1401961,13877,1415838
@,2,0,2
[,22,0,22
\,90,0,90
],22,0,22
_,15,0,15
__,1,0,1
___,1,0,1
____,4,0,4
_____,3,0,3
______,1,0,1
__boy__,1,0,1
__excited__,1,0,1
__learn__,1,0,1
__okay,1,0,1
__sea__,1,0,1
__special__,1,0,1
__unique__,1,0,1
_castle_,1,0,1
_competing_,1,0,1
_dropped_,1,0,1
_mind_,1,0,1
_o,1,0,1
_urged_,2,0,2
_weak_,2,0,2
`,423,2,425
a,15319876,154704,15474580
a's,3,0,3
a3,1,0,1
a4,1,0,1
aa,32,0,32
aaa,8,0,8
aaaaaa,1,0,1
aaaaaaah,1,0,1
aaaaaah,1,0,1
aaaaah,2,0,2
aaaaahing,1,0,1
aaaaar,1,0,1
aaaah,149,2,151
aaaahh,2,0,2
aaaahhh,2,0,2
aaaahhhh,1,0,1
aaah,44,0,44
aaah'd,1,0,1
aaahed,3,0,3
aaahhed,1,0,1
aaahhh,5,0,5
aaahhhhh,1,0,1
aaarrgghhh,1,0,1
aah,135,0,135
aah'd,1,0,1
aahed,82,1,83
aahh,4,0,4
aahing,5,0,5
aahs,6,0,6
aalen,6,0,6
aaliyah,42,0,42
aaliyah's,4,0,4
aamir,5,0,5
aamir's,2,0,2
aand,1,0,1
aara,6,0,6
aara's,1,0,1
aarab,1,0,1
aaralyn,3,0,3
aaralyn's,1,0,1
aardvark,5,0,5
aaron,173,0,173
aaron's,11,0,11
ab,1,0,1
aba,14,0,14
aback,397,2,399
abacus,9,0,9
abada,1,0,1
abagail,2,0,2
abalone,1,0,1
abandon,33,0,33
abandoned,305,2,307
abandoning,3,0,3
abandonment,1,0,1
abashed,1,0,1
abated,1,0,1
abba,23,0,23
abbee,1,0,1
abbey,55,0,55
abbey's,5,0,5
abbi,178,0,178
abbi's,18,0,18
abbie,1661,14,1675
abbie's,80,1,81
abble,2,0,2
abbot,13,0,13
abbot's,1,0,1
abbty,1,0,1
abby,3053,68,3121
abby's,158,2,160
abc,48,0,48
abc's,9,0,9
abcd,3,0,3
abcs,248,2,250
abd,2,0,2
abe,59,0,59
abe's,6,0,6
abee,6,0,6
abel,43,0,43
abena,12,0,12
abhi,6,0,6
abhishek,5,0,5
abhishek's,2,0,2
abi,1327,10,1337
abi's,60,0,60
abide,16,0,16
abiding,2,0,2
abie,15,0,15
abig,2,0,2
